time,day_of_week,location,is_holiday,weather_condition,total_slots,free_slots_4w,free_slots_2w,event_nearby
12:00-14:00,Sunday,Commercial Street,1,Sunny,325,21,76,0
18:00-20:00,Friday,"International Tech Park (ITPL), Whitefield",0,Rainy,1400,144,80,0
10:00-12:00,Wednesday,Commercial Street,0,Sunny,325,44,96,0
12:00-14:00,Tuesday,KR Market Parking Complex,0,Rainy,370,38,126,0
08:00-10:00,Monday,Indiranagar 100 Feet Road,0,Sunny,400,66,130,0
18:00-20:00,Saturday,"Total Mall, Old Airport Road",0,Cloudy,300,16,35,0
20:00-22:00,Wednesday,Church Street,0,Rainy,500,42,47,0
14:00-16:00,Thursday,"Manyata Tech Park, Hebbal",0,Sunny,1700,580,141,1
00:00-02:00,Monday,Commercial Street,1,Cloudy,325,21,115,0
00:00-02:00,Wednesday,"Phoenix Marketcity, Whitefield",1,Rainy,2200,466,103,0
14:00-16:00,Friday,KR Market Parking Complex,0,Sunny,370,47,147,0
22:00-24:00,Friday,Indiranagar 100 Feet Road,0,Windy,400,45,152,0
18:00-20:00,Sunday,Church Street,0,Cloudy,500,35,53,0
08:00-10:00,Tuesday,Freedom Park,0,Sunny,1400,456,297,0
12:00-14:00,Wednesday,"Total Mall, Old Airport Road",0,Sunny,300,58,95,0
14:00-16:00,Sunday,Commercial Street,1,Cloudy,325,25,59,1
14:00-16:00,Wednesday,"Orion Mall, Malleshwaram",1,Sunny,6200,1061,291,0
06:00-08:00,Saturday,"International Tech Park (ITPL), Whitefield",0,Windy,1400,332,118,0
04:00-06:00,Saturday,Jayanagar 4th Block,0,Cloudy,550,112,140,0
12:00-14:00,Wednesday,KR Market Parking Complex,0,Windy,370,33,179,0
22:00-24:00,Sunday,Commercial Street,0,Sunny,325,11,33,0
12:00-14:00,Monday,"Total Mall, Old Airport Road",0,Cloudy,300,22,79,1
12:00-14:00,Wednesday,Freedom Park,1,Rainy,1400,161,85,0
00:00-02:00,Thursday,"Mantri Square Mall, Malleswaram",0,Rainy,2350,510,134,0
16:00-18:00,Wednesday,Citywide Parking Overview,0,Cloudy,5300,199,643,0
14:00-16:00,Sunday,"Total Mall, Old Airport Road",0,Windy,300,40,33,0
00:00-02:00,Tuesday,JC Road Multi-Level Parking,0,Rainy,300,52,33,1
02:00-04:00,Friday,Brigade Road,0,Sunny,385,31,101,0
20:00-22:00,Saturday,"Total Mall, Old Airport Road",1,Windy,300,18,17,0
14:00-16:00,Wednesday,"Total Mall, Old Airport Road",0,Cloudy,300,33,63,1
18:00-20:00,Saturday,"Mantri Square Mall, Malleswaram",0,Sunny,2350,306,42,0
04:00-06:00,Tuesday,"International Tech Park (ITPL), Whitefield",0,Windy,1400,196,298,0
06:00-08:00,Sunday,"Mantri Square Mall, Malleswaram",0,Windy,2350,479,262,0
12:00-14:00,Sunday,Freedom Park,0,Windy,1400,332,82,0
14:00-16:00,Sunday,"International Tech Park (ITPL), Whitefield",0,Cloudy,1400,178,136,0
02:00-04:00,Monday,"Manyata Tech Park, Hebbal",0,Sunny,1700,255,180,0
06:00-08:00,Thursday,KR Market Parking Complex,1,Rainy,370,20,61,0
02:00-04:00,Wednesday,Jayanagar 4th Block,0,Cloudy,550,147,191,0
12:00-14:00,Sunday,"Phoenix Marketcity, Whitefield",0,Cloudy,2200,404,120,0
20:00-22:00,Saturday,Commercial Street,0,Sunny,325,9,28,0
20:00-22:00,Friday,"Total Mall, Old Airport Road",0,Sunny,300,27,27,0
20:00-22:00,Monday,"Phoenix Marketcity, Whitefield",0,Cloudy,2200,277,50,1
10:00-12:00,Thursday,Commercial Street,0,Cloudy,325,30,70,0
18:00-20:00,Wednesday,Church Street,1,Cloudy,500,22,66,0
00:00-02:00,Thursday,Citywide Parking Overview,0,Cloudy,5300,1014,1301,0
04:00-06:00,Tuesday,"Total Mall, Old Airport Road",0,Windy,300,58,120,0
10:00-12:00,Wednesday,"Orion Mall, Malleshwaram",1,Rainy,6200,1454,408,0
10:00-12:00,Thursday,Church Street,0,Windy,500,93,38,1
18:00-20:00,Saturday,Freedom Park,0,Windy,1400,64,48,0
02:00-04:00,Friday,Jayanagar 4th Block,0,Rainy,550,121,108,0
20:00-22:00,Friday,Indiranagar 100 Feet Road,0,Rainy,400,17,32,0
08:00-10:00,Monday,Brigade Road,0,Cloudy,385,33,71,0
16:00-18:00,Tuesday,Church Street,1,Rainy,500,35,50,0
12:00-14:00,Thursday,JC Road Multi-Level Parking,0,Windy,300,79,80,0
06:00-08:00,Saturday,"Mantri Square Mall, Malleswaram",0,Sunny,2350,503,100,0
20:00-22:00,Monday,Jayanagar 4th Block,0,Windy,550,53,53,0
16:00-18:00,Tuesday,Jayanagar 4th Block,1,Sunny,550,17,19,0
00:00-02:00,Wednesday,"Manyata Tech Park, Hebbal",0,Windy,1700,678,375,0
12:00-14:00,Friday,"Total Mall, Old Airport Road",0,Windy,300,23,65,1
08:00-10:00,Wednesday,"Phoenix Marketcity, Whitefield",0,Rainy,2200,844,174,0
14:00-16:00,Tuesday,"Phoenix Marketcity, Whitefield",0,Sunny,2200,616,305,0
14:00-16:00,Sunday,JC Road Multi-Level Parking,0,Sunny,300,42,73,0
08:00-10:00,Tuesday,"Orion Mall, Malleshwaram",0,Rainy,6200,2445,160,1
12:00-14:00,Saturday,Indiranagar 100 Feet Road,0,Windy,400,26,54,0
08:00-10:00,Sunday,Church Street,0,Sunny,500,38,147,0
04:00-06:00,Thursday,KR Market Parking Complex,0,Windy,370,20,45,1
08:00-10:00,Tuesday,"Manyata Tech Park, Hebbal",0,Cloudy,1700,364,231,0
00:00-02:00,Friday,KR Market Parking Complex,0,Windy,370,21,122,0
22:00-24:00,Monday,"Orion Mall, Malleshwaram",1,Rainy,6200,1775,331,0
04:00-06:00,Saturday,"Manyata Tech Park, Hebbal",1,Cloudy,1700,534,83,0
12:00-14:00,Friday,KR Market Parking Complex,1,Windy,370,14,88,0
12:00-14:00,Wednesday,Jayanagar 4th Block,0,Sunny,550,45,77,1
18:00-20:00,Friday,Citywide Parking Overview,0,Windy,5300,305,551,0
12:00-14:00,Tuesday,"International Tech Park (ITPL), Whitefield",0,Windy,1400,627,166,0
06:00-08:00,Thursday,"Mantri Square Mall, Malleswaram",0,Cloudy,2350,754,219,0
00:00-02:00,Saturday,Brigade Road,0,Windy,385,26,68,0
06:00-08:00,Wednesday,KR Market Parking Complex,0,Windy,370,34,79,0
10:00-12:00,Monday,Indiranagar 100 Feet Road,0,Rainy,400,81,51,0
22:00-24:00,Tuesday,Church Street,0,Cloudy,500,106,104,0
18:00-20:00,Thursday,KR Market Parking Complex,0,Sunny,370,12,76,0
18:00-20:00,Thursday,Indiranagar 100 Feet Road,0,Cloudy,400,28,62,0
22:00-24:00,Monday,KR Market Parking Complex,0,Windy,370,20,105,0
00:00-02:00,Wednesday,Brigade Road,0,Rainy,385,47,106,0
06:00-08:00,Friday,"International Tech Park (ITPL), Whitefield",0,Rainy,1400,734,265,0
06:00-08:00,Thursday,Jayanagar 4th Block,0,Rainy,550,172,172,0
04:00-06:00,Saturday,JC Road Multi-Level Parking,1,Rainy,300,50,24,1
12:00-14:00,Sunday,KR Market Parking Complex,0,Rainy,370,13,56,0
16:00-18:00,Tuesday,Church Street,0,Cloudy,500,36,61,0
22:00-24:00,Sunday,"Phoenix Marketcity, Whitefield",0,Rainy,2200,600,208,0
22:00-24:00,Sunday,Jayanagar 4th Block,0,Rainy,550,57,82,1
04:00-06:00,Tuesday,Jayanagar 4th Block,0,Sunny,550,61,72,1
02:00-04:00,Sunday,"Mantri Square Mall, Malleswaram",0,Sunny,2350,328,64,0
20:00-22:00,Tuesday,"Total Mall, Old Airport Road",0,Cloudy,300,25,32,0
22:00-24:00,Saturday,"Mantri Square Mall, Malleswaram",0,Rainy,2350,492,118,0
02:00-04:00,Monday,"International Tech Park (ITPL), Whitefield",0,Sunny,1400,238,106,1
14:00-16:00,Saturday,Freedom Park,0,Windy,1400,328,120,0
08:00-10:00,Saturday,JC Road Multi-Level Parking,0,Windy,300,33,21,0
14:00-16:00,Wednesday,Commercial Street,0,Windy,325,43,58,0
14:00-16:00,Tuesday,Jayanagar 4th Block,1,Sunny,550,49,140,0
12:00-14:00,Wednesday,"Phoenix Marketcity, Whitefield",0,Windy,2200,627,206,0
06:00-08:00,Sunday,Commercial Street,0,Rainy,325,22,74,0
12:00-14:00,Wednesday,Church Street,0,Rainy,500,107,154,0
10:00-12:00,Sunday,Commercial Street,0,Windy,325,21,66,0
10:00-12:00,Friday,"Mantri Square Mall, Malleswaram",0,Cloudy,2350,1183,172,0
22:00-24:00,Monday,"Total Mall, Old Airport Road",0,Rainy,300,18,66,1
08:00-10:00,Sunday,"Total Mall, Old Airport Road",0,Sunny,300,24,40,0
00:00-02:00,Wednesday,Freedom Park,0,Rainy,1400,149,88,1
10:00-12:00,Thursday,"Orion Mall, Malleshwaram",0,Rainy,6200,2059,488,0
10:00-12:00,Monday,Church Street,1,Windy,500,34,63,0
00:00-02:00,Thursday,"Total Mall, Old Airport Road",0,Rainy,300,26,51,0
06:00-08:00,Wednesday,KR Market Parking Complex,0,Cloudy,370,16,147,0
14:00-16:00,Sunday,Indiranagar 100 Feet Road,0,Sunny,400,58,38,0
00:00-02:00,Monday,Brigade Road,0,Cloudy,385,18,176,0
06:00-08:00,Friday,"Total Mall, Old Airport Road",0,Sunny,300,42,48,0
02:00-04:00,Thursday,Commercial Street,0,Sunny,325,48,76,0
06:00-08:00,Tuesday,JC Road Multi-Level Parking,0,Rainy,300,103,83,0
12:00-14:00,Thursday,"Mantri Square Mall, Malleswaram",0,Cloudy,2350,739,157,0
12:00-14:00,Wednesday,Commercial Street,0,Sunny,325,21,103,1
00:00-02:00,Tuesday,Citywide Parking Overview,0,Cloudy,5300,677,1175,0
00:00-02:00,Monday,"Mantri Square Mall, Malleswaram",0,Rainy,2350,969,233,0
22:00-24:00,Sunday,Freedom Park,0,Sunny,1400,431,100,0
18:00-20:00,Monday,"Phoenix Marketcity, Whitefield",0,Rainy,2200,383,89,0
20:00-22:00,Friday,Citywide Parking Overview,0,Rainy,5300,353,1206,0
04:00-06:00,Saturday,"Manyata Tech Park, Hebbal",0,Windy,1700,533,63,0
16:00-18:00,Sunday,Commercial Street,0,Sunny,325,14,18,0
08:00-10:00,Wednesday,KR Market Parking Complex,0,Rainy,370,22,61,1
08:00-10:00,Sunday,KR Market Parking Complex,0,Windy,370,17,92,0
22:00-24:00,Thursday,"Manyata Tech Park, Hebbal",0,Sunny,1700,829,224,0
16:00-18:00,Friday,Church Street,0,Windy,500,44,85,0
06:00-08:00,Saturday,JC Road Multi-Level Parking,0,Sunny,300,27,17,0
02:00-04:00,Thursday,Jayanagar 4th Block,0,Cloudy,550,152,189,0
18:00-20:00,Monday,"Mantri Square Mall, Malleswaram",0,Cloudy,2350,410,185,0
06:00-08:00,Sunday,Commercial Street,0,Cloudy,325,28,56,0
22:00-24:00,Monday,Commercial Street,0,Cloudy,325,32,62,0
18:00-20:00,Tuesday,Freedom Park,0,Rainy,1400,290,98,0
16:00-18:00,Wednesday,Commercial Street,0,Cloudy,325,25,68,0
18:00-20:00,Friday,"Mantri Square Mall, Malleswaram",0,Sunny,2350,140,103,1
12:00-14:00,Tuesday,"International Tech Park (ITPL), Whitefield",0,Rainy,1400,611,221,0
04:00-06:00,Wednesday,KR Market Parking Complex,0,Windy,370,16,72,1
06:00-08:00,Tuesday,"Mantri Square Mall, Malleswaram",0,Cloudy,2350,866,396,0
08:00-10:00,Thursday,"Mantri Square Mall, Malleswaram",0,Rainy,2350,794,254,0
00:00-02:00,Wednesday,"Mantri Square Mall, Malleswaram",0,Cloudy,2350,363,140,1
14:00-16:00,Friday,"Phoenix Marketcity, Whitefield",0,Cloudy,2200,723,310,0
10:00-12:00,Saturday,JC Road Multi-Level Parking,0,Cloudy,300,38,33,1
16:00-18:00,Thursday,"Phoenix Marketcity, Whitefield",0,Sunny,2200,284,37,1
00:00-02:00,Saturday,Church Street,1,Rainy,500,42,71,0
00:00-02:00,Monday,Indiranagar 100 Feet Road,0,Cloudy,400,48,55,1
18:00-20:00,Monday,Freedom Park,0,Rainy,1400,156,24,1
18:00-20:00,Wednesday,"Total Mall, Old Airport Road",0,Rainy,300,27,63,0
10:00-12:00,Thursday,KR Market Parking Complex,0,Windy,370,29,122,0
20:00-22:00,Sunday,"International Tech Park (ITPL), Whitefield",0,Cloudy,1400,131,54,0
04:00-06:00,Saturday,Indiranagar 100 Feet Road,0,Rainy,400,37,73,0
02:00-04:00,Tuesday,Freedom Park,0,Sunny,1400,402,197,0
12:00-14:00,Tuesday,Citywide Parking Overview,0,Windy,5300,567,2170,0
00:00-02:00,Tuesday,JC Road Multi-Level Parking,0,Sunny,300,79,57,0
14:00-16:00,Wednesday,Citywide Parking Overview,0,Rainy,5300,787,2417,0
16:00-18:00,Tuesday,KR Market Parking Complex,0,Windy,370,16,59,0
10:00-12:00,Friday,Jayanagar 4th Block,0,Rainy,550,75,200,0
18:00-20:00,Sunday,Freedom Park,0,Cloudy,1400,151,36,0
06:00-08:00,Sunday,JC Road Multi-Level Parking,1,Cloudy,300,30,21,0
10:00-12:00,Monday,"Total Mall, Old Airport Road",0,Sunny,300,15,28,1
08:00-10:00,Tuesday,"Total Mall, Old Airport Road",0,Sunny,300,45,99,0
10:00-12:00,Tuesday,"Total Mall, Old Airport Road",0,Cloudy,300,63,126,0
12:00-14:00,Friday,Jayanagar 4th Block,1,Cloudy,550,53,71,0
18:00-20:00,Monday,Freedom Park,0,Sunny,1400,164,120,0
02:00-04:00,Saturday,"Mantri Square Mall, Malleswaram",0,Cloudy,2350,672,229,1
16:00-18:00,Saturday,KR Market Parking Complex,0,Rainy,370,12,47,0
18:00-20:00,Tuesday,"Orion Mall, Malleshwaram",0,Cloudy,6200,1030,239,0
12:00-14:00,Sunday,"Total Mall, Old Airport Road",0,Sunny,300,26,61,0
14:00-16:00,Saturday,Jayanagar 4th Block,0,Rainy,550,82,92,0
10:00-12:00,Thursday,"International Tech Park (ITPL), Whitefield",1,Rainy,1400,182,105,0
10:00-12:00,Thursday,"International Tech Park (ITPL), Whitefield",0,Cloudy,1400,648,110,0
12:00-14:00,Friday,Commercial Street,0,Sunny,325,41,129,0
22:00-24:00,Friday,Indiranagar 100 Feet Road,1,Rainy,400,35,111,0
16:00-18:00,Monday,"Phoenix Marketcity, Whitefield",0,Cloudy,2200,512,139,0
00:00-02:00,Thursday,Church Street,0,Cloudy,500,66,112,0
08:00-10:00,Saturday,Freedom Park,0,Windy,1400,318,145,1
00:00-02:00,Tuesday,Freedom Park,0,Rainy,1400,554,275,0
14:00-16:00,Thursday,"Manyata Tech Park, Hebbal",0,Sunny,1700,360,142,0
12:00-14:00,Monday,"Manyata Tech Park, Hebbal",0,Cloudy,1700,837,115,0
00:00-02:00,Monday,Indiranagar 100 Feet Road,0,Cloudy,400,76,65,1
16:00-18:00,Saturday,JC Road Multi-Level Parking,0,Rainy,300,14,14,1
16:00-18:00,Sunday,JC Road Multi-Level Parking,0,Rainy,300,14,22,0
14:00-16:00,Saturday,"International Tech Park (ITPL), Whitefield",0,Windy,1400,125,211,0
00:00-02:00,Friday,Commercial Street,1,Cloudy,325,14,46,1
02:00-04:00,Monday,"International Tech Park (ITPL), Whitefield",1,Rainy,1400,273,136,0
08:00-10:00,Wednesday,Jayanagar 4th Block,0,Rainy,550,102,78,0
00:00-02:00,Monday,Commercial Street,0,Cloudy,325,51,151,0
18:00-20:00,Monday,Church Street,1,Cloudy,500,34,44,0
14:00-16:00,Tuesday,Indiranagar 100 Feet Road,0,Sunny,400,73,139,0
12:00-14:00,Friday,Jayanagar 4th Block,0,Sunny,550,55,99,1
08:00-10:00,Sunday,"Total Mall, Old Airport Road",0,Sunny,300,22,72,0
22:00-24:00,Wednesday,Brigade Road,0,Sunny,385,22,75,0
20:00-22:00,Monday,JC Road Multi-Level Parking,0,Sunny,300,33,35,0
22:00-24:00,Friday,"Total Mall, Old Airport Road",0,Sunny,300,19,64,1
04:00-06:00,Wednesday,"Phoenix Marketcity, Whitefield",0,Sunny,2200,755,268,0
20:00-22:00,Sunday,"Mantri Square Mall, Malleswaram",0,Cloudy,2350,322,56,0
12:00-14:00,Thursday,KR Market Parking Complex,0,Rainy,370,37,176,0
18:00-20:00,Sunday,Jayanagar 4th Block,0,Rainy,550,30,47,0
10:00-12:00,Monday,"Orion Mall, Malleshwaram",0,Cloudy,6200,1981,198,1
20:00-22:00,Saturday,Indiranagar 100 Feet Road,0,Cloudy,400,15,55,0
00:00-02:00,Thursday,Brigade Road,0,Cloudy,385,36,119,0
18:00-20:00,Tuesday,Commercial Street,1,Cloudy,325,17,36,0
10:00-12:00,Thursday,"Orion Mall, Malleshwaram",0,Rainy,6200,2918,464,0
14:00-16:00,Wednesday,"Phoenix Marketcity, Whitefield",1,Windy,2200,509,181,0
00:00-02:00,Friday,"Manyata Tech Park, Hebbal",0,Sunny,1700,299,132,1
00:00-02:00,Wednesday,"Total Mall, Old Airport Road",0,Windy,300,50,143,0
16:00-18:00,Thursday,"Mantri Square Mall, Malleswaram",0,Sunny,2350,353,113,0
12:00-14:00,Thursday,Brigade Road,0,Windy,385,46,86,0
16:00-18:00,Sunday,Jayanagar 4th Block,0,Sunny,550,29,25,0
14:00-16:00,Friday,Freedom Park,0,Sunny,1400,524,232,0
06:00-08:00,Friday,Freedom Park,0,Cloudy,1400,283,188,0
02:00-04:00,Friday,"Mantri Square Mall, Malleswaram",0,Sunny,2350,1022,268,0
06:00-08:00,Sunday,Indiranagar 100 Feet Road,0,Sunny,400,67,59,0
04:00-06:00,Monday,"Manyata Tech Park, Hebbal",0,Cloudy,1700,525,217,0
02:00-04:00,Friday,"Mantri Square Mall, Malleswaram",0,Rainy,2350,596,275,0
14:00-16:00,Wednesday,KR Market Parking Complex,0,Cloudy,370,45,142,0
16:00-18:00,Monday,JC Road Multi-Level Parking,0,Windy,300,28,43,0
00:00-02:00,Monday,"Manyata Tech Park, Hebbal",0,Windy,1700,483,141,0
04:00-06:00,Tuesday,"Manyata Tech Park, Hebbal",0,Cloudy,1700,303,181,0
14:00-16:00,Wednesday,"International Tech Park (ITPL), Whitefield",0,Cloudy,1400,332,137,1
02:00-04:00,Monday,"Manyata Tech Park, Hebbal",1,Windy,1700,244,119,0
20:00-22:00,Sunday,"Mantri Square Mall, Malleswaram",0,Windy,2350,325,59,0
14:00-16:00,Friday,"Orion Mall, Malleshwaram",0,Rainy,6200,3116,545,0
00:00-02:00,Friday,Commercial Street,0,Rainy,325,38,119,0
22:00-24:00,Thursday,Jayanagar 4th Block,0,Cloudy,550,108,151,0
10:00-12:00,Sunday,JC Road Multi-Level Parking,0,Windy,300,26,50,1
00:00-02:00,Tuesday,"Phoenix Marketcity, Whitefield",1,Sunny,2200,348,128,0
20:00-22:00,Sunday,"International Tech Park (ITPL), Whitefield",1,Rainy,1400,198,30,1
14:00-16:00,Friday,"Manyata Tech Park, Hebbal",1,Windy,1700,365,76,0
12:00-14:00,Monday,"International Tech Park (ITPL), Whitefield",0,Sunny,1400,606,140,0
08:00-10:00,Wednesday,KR Market Parking Complex,0,Rainy,370,33,144,0
00:00-02:00,Saturday,Brigade Road,0,Windy,385,10,37,0
20:00-22:00,Saturday,KR Market Parking Complex,1,Cloudy,370,14,38,1
14:00-16:00,Thursday,JC Road Multi-Level Parking,0,Sunny,300,33,43,0
08:00-10:00,Thursday,"International Tech Park (ITPL), Whitefield",0,Rainy,1400,264,128,1
16:00-18:00,Sunday,Indiranagar 100 Feet Road,0,Cloudy,400,33,20,0
06:00-08:00,Sunday,Church Street,1,Sunny,500,90,91,1
04:00-06:00,Friday,Church Street,0,Sunny,500,38,61,1
12:00-14:00,Tuesday,Jayanagar 4th Block,1,Windy,550,47,63,0
10:00-12:00,Thursday,KR Market Parking Complex,1,Cloudy,370,21,91,0
06:00-08:00,Monday,"Orion Mall, Malleshwaram",1,Sunny,6200,583,441,0
16:00-18:00,Wednesday,Citywide Parking Overview,1,Windy,5300,187,761,0
06:00-08:00,Thursday,Jayanagar 4th Block,1,Rainy,550,61,66,0
06:00-08:00,Sunday,Freedom Park,0,Windy,1400,392,154,1
08:00-10:00,Wednesday,JC Road Multi-Level Parking,0,Rainy,300,45,54,0
12:00-14:00,Thursday,Indiranagar 100 Feet Road,0,Rainy,400,28,46,1
14:00-16:00,Friday,Church Street,0,Sunny,500,80,155,0
02:00-04:00,Tuesday,"Phoenix Marketcity, Whitefield",0,Rainy,2200,681,157,0
12:00-14:00,Tuesday,JC Road Multi-Level Parking,0,Cloudy,300,35,96,0
06:00-08:00,Sunday,"Total Mall, Old Airport Road",0,Sunny,300,27,34,0
08:00-10:00,Tuesday,Freedom Park,0,Windy,1400,278,133,1
18:00-20:00,Friday,"Manyata Tech Park, Hebbal",0,Rainy,1700,233,63,1
18:00-20:00,Sunday,KR Market Parking Complex,0,Cloudy,370,13,40,0
16:00-18:00,Sunday,"International Tech Park (ITPL), Whitefield",0,Cloudy,1400,129,74,0
12:00-14:00,Saturday,Citywide Parking Overview,0,Cloudy,5300,485,964,0
08:00-10:00,Sunday,Commercial Street,0,Windy,325,14,73,1
14:00-16:00,Saturday,Freedom Park,0,Cloudy,1400,176,81,0
